"UniqueKey","UniqueRowId","GlobalRecordId","RECSTATUS","FKEY","Stratificationlevels","Pathogenspp","Ve","Total","Others_Def"
1,84922c31-9ad9-4eab-8bb1-7f62f496380f,d3cfc43c-1e5d-484b-a16e-fb1d59704e5d,1,1d1a15a7-825b-4320-aaa2-fd5ee3bd1cfa,,Strept. Uberis,19,809,
2,8294d053-7471-4c58-987e-2fb2e0cd1d00,d3cfc43c-1e5d-484b-a16e-fb1d59704e5d,1,1d1a15a7-825b-4320-aaa2-fd5ee3bd1cfa,,E. coli,27,823,
3,30d4bf69-38f1-407d-b5f1-f291024cb98c,d3cfc43c-1e5d-484b-a16e-fb1d59704e5d,1,1d1a15a7-825b-4320-aaa2-fd5ee3bd1cfa,,Aerococcus spp.,13,823,
4,81a1e87f-9ffd-4b3b-b961-04bab2c1b226,d3cfc43c-1e5d-484b-a16e-fb1d59704e5d,1,1d1a15a7-825b-4320-aaa2-fd5ee3bd1cfa,,Coagulase-positive staph,7,824,
5,58383975-bedb-44ce-a8fa-282501dc7b5b,d3cfc43c-1e5d-484b-a16e-fb1d59704e5d,1,1d1a15a7-825b-4320-aaa2-fd5ee3bd1cfa,,Enterococcus spp.,11,827,
6,a89bade0-5264-49fe-a409-fa346c54caab,d3cfc43c-1e5d-484b-a16e-fb1d59704e5d,1,1d1a15a7-825b-4320-aaa2-fd5ee3bd1cfa,,Bacillus spp.,1,833,
7,89d4b6b0-1e38-4d4e-8531-863420dbc57b,d3cfc43c-1e5d-484b-a16e-fb1d59704e5d,1,1d1a15a7-825b-4320-aaa2-fd5ee3bd1cfa,,Yeast,8,833,
8,851f2bfd-17b9-45e6-b21f-2fd2034b8517,d3cfc43c-1e5d-484b-a16e-fb1d59704e5d,1,1d1a15a7-825b-4320-aaa2-fd5ee3bd1cfa,,Strept.spp (no specification),0,835,
9,7686859d-56d7-47bf-b529-0f991e5e8308,d3cfc43c-1e5d-484b-a16e-fb1d59704e5d,1,1d1a15a7-825b-4320-aaa2-fd5ee3bd1cfa,,Mucor spp.,3,833,
10,486e37ba-c567-4e6c-b62f-63520d7ec434,d3cfc43c-1e5d-484b-a16e-fb1d59704e5d,1,1d1a15a7-825b-4320-aaa2-fd5ee3bd1cfa,,Strept. Dysgalactiae,0,836,
11,1a21e461-a410-4ae9-a8e4-bfe298d83ce3,d3cfc43c-1e5d-484b-a16e-fb1d59704e5d,1,1d1a15a7-825b-4320-aaa2-fd5ee3bd1cfa,,Aspergillus spp.,2,833,
