"UniqueKey","RECSTATUS","GlobalRecordId","FirstSaveLogonName","FirstSaveTime","LastSaveLogonName","LastSaveTime","FKEY","study_id_expo","trial_expo","Group_expo","Time1","dayspostcalving","from1","to1","Def","COV","DetectionMethod","Ounit1","stratifyingvariable","study_id_expo1","T","Estimatetype","Estimatescale","trial_expo1","U","CIlevel","Group_expo1"
1,1,1d1a15a7-825b-4320-aaa2-fd5ee3bd1cfa,ADDS\mafifi,1/7/2019 2:53:03 AM,ADDS\mafifi,1/7/2019 2:53:03 AM,063c80c1-d680-4dc1-9097-24b98e3881bc,709,1,1_Cephalonium,1,,0,10, the presence of a pathogen in the post-calving sample that had not been present at DO,,Culture,Quarter,No-stratification (totals),,,,,,,,
2,1,d92a569f-22d8-442e-abff-341737b2d138,ADDS\mafifi,1/7/2019 2:56:16 AM,ADDS\mafifi,1/7/2019 2:46:54 PM,82c3ff03-f480-4a8d-8009-aa27abe13b3c,709,1,2_Cephalonium+TS,1,,0,10,"the presence of a pathogen in the post-calving sample that had not been present at
DO",,Culture,Quarter,No-stratification (totals),,,,,,,,
3,1,d37e7696-b391-4e1d-a165-6145283c0426,ADDS\mafifi,1/7/2019 3:00:05 AM,ADDS\mafifi,1/7/2019 3:09:09 AM,bc0e4a34-21f0-4361-9680-bc6734a22fb2,709,1,3_TS only,1,,,," the presence of a pathogen in
the post-calving sample that had not been present at
DO",,Culture,Quarter,No-stratification (totals),,,,,,,,
4,1,d9443346-6c30-4f4c-951c-1f24ce7cb1aa,ADDS\mafifi,1/7/2019 3:04:47 AM,ADDS\mafifi,1/7/2019 3:04:47 AM,3cc767d4-d034-417c-b485-9c8b27861d42,709,1,4_Cephalonium+TS,1,,0,10,,,Culture,Quarter,No-stratification (totals),,,,,,,,
5,1,34a9c974-8a9f-463b-ae44-dd1dc8ab00f7,ADDS\mafifi,3/20/2019 6:59:05 PM,ADDS\mafifi,3/26/2019 1:25:33 PM,8fc60e5d-16d9-4db0-a2b6-8af8237c6395,25,1,1_Cloxa,1,15,,,"all quarters from which a bacteria, not initially present at drying off, was isolated from a sample taken at calving or during the fortnight following were considered to be newly infected. In the case of any doubt a third sample was taken.",,Culture,Quarter,No-stratification (totals),,,,,,,,
6,1,d01aa6ce-823f-4383-bcfb-68c70c9a32c8,ADDS\mafifi,3/20/2019 7:01:09 PM,ADDS\mafifi,3/20/2019 7:01:10 PM,1f5b76df-b33f-4550-8bc2-8a3af01a9825,25,1,2_PenicillinG,1,14,,,"all quarters from which a bacteria, not initially present at drying off, was isolated from a sample taken at calving or during the fortnight following were considered to be newly infected. In the case of any doubt a third sample was taken",,Culture,Quarter,No-stratification (totals),,,,,,,,
7,1,daa7d76b-b963-4ed9-ab14-91fed6ea78c6,ADDS\mafifi,3/21/2019 1:47:38 PM,ADDS\mafifi,3/21/2019 1:47:42 PM,e8ce1f96-7f15-48af-9ff9-c771b0493625,108,1,1_Novobiocin+Pen,1,21,,,Presence of different organism in duplicate post-treatment samples or single prepartum sampl,,Culture,Quarter,No-stratification (totals),,,,,,,,
8,1,a023add6-2993-4996-a6f8-b1cfbbe42ba8,ADDS\mafifi,3/21/2019 1:51:47 PM,ADDS\mafifi,3/21/2019 1:51:47 PM,5553a5be-9243-4db2-89af-71ececaec647,108,1,2_Novobiocin+Pen,1,,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
9,1,c88016da-156b-4a85-9a51-2095f18712d8,ADDS\mafifi,3/21/2019 1:54:10 PM,ADDS\mafifi,3/21/2019 1:54:10 PM,36ed0164-eb8a-4656-8a65-927b4017db92,108,1,3_-ve control,1,,,,,,Culture,Quarter,No-stratification (totals),,,,,,,,
10,1,04727a16-dcde-4c85-9bb5-4faf08178035,ADDS\mafifi,3/21/2019 5:39:58 PM,ADDS\mafifi,3/21/2019 5:39:58 PM,0c302109-6c5a-493d-aa15-dfa6dcc80200,110,1,1_Cloxa,1,,2,4,A new quarter infection acquired during the dry period was recorded when a quarter not infected at drying off yielded pathogenic organisms in the milk sample collected after calving.,,Culture,Quarter,No-stratification (totals),,,,,,,,
11,1,36230b4e-48e2-49d3-b92e-8892401bf44c,ADDS\mafifi,3/21/2019 5:41:47 PM,ADDS\mafifi,3/21/2019 5:41:47 PM,863fe45a-2299-405a-b35c-e26cb17e93cf,110,1,2_Naficillin+Pen+Strept,1,,2,4,A new quarter infection acquired during the dry period was recorded when a quarter not infected at drying off yielded pathogenic organisms in the milk sample collected after calving.,,Culture,Quarter,No-stratification (totals),,,,,,,,
12,1,db5146a1-5057-4889-836f-5455b3edf123,ADDS\mafifi,3/21/2019 5:42:43 PM,ADDS\mafifi,3/21/2019 5:42:43 PM,accf12e6-1528-453a-85cc-0727cf492fe5,110,1,3_Cephalonium,1,,,,A new quarter infection acquired during the dry period was recorded when a quarter not infected at drying off yielded pathogenic organisms in the milk sample collected after calving.,,Culture,Quarter,No-stratification (totals),,,,,,,,
13,1,273971c1-c7d7-4bae-8a72-c36475229345,ADDS\mafifi,3/23/2019 1:02:20 AM,ADDS\mafifi,3/23/2019 1:44:42 AM,d8f68ad9-47e1-4b90-836d-b60e5bcd5fbe,115,1,1_Naficillin+Pen+Strept,1,7,,,New infection rate based on first after calving sample,,Culture,Quarter,No-stratification (totals),115,1,OR,linear,1,Quarter,95%,1_Naficillin+Pen+Strept
